tweet_id,candidate,name,tweet_created,tweet_location,user_timezone,retweet_count,sentiment,quote_sentiment,tone(general),text
ID708105457362083841,Trump,Nikki Now,3/10/2016 20:41,null,null,54,negative,negative,negative,"RT @Chris_Dignam: Another #TrumpRally , another senseless assault https://t.co/9Hcdk2sIJ7 #Trump #GOPDebate"
ID708100716963889152,Trump,President Trump,3/10/2016 20:22,The White House,null,0,neutral,neutral,neutral,"If @CNN asks #Trump abt pledges at rally's, can they also talk about #Obama? #Trump2016 #GOPDebate #CNNDebate #CNN https://t.co/tyw5t2ShZs"
ID708030623974346752,Trump,SergZerg,3/10/2016 15:43,null,Moscow,313,positive,positive,,"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h…"
ID708081645614534656,Trump,Sarah 4 TRUMP,3/10/2016 19:06,"Virginia, USA",null,11,positive,positive,negative,RT @JoePrich: @MichelleFields  this entire thing was a HOAX designed to put Trump on the defensive before the #GOPdebate
ID708108362085474310,Trump,Matt Coggins,3/10/2016 20:52,Kansas City,Eastern Time (US & Canada),1,negative,negative,negative,"Considering how aggressively the GOP has campaigned against Trump, they must not plan on him being the nominee #GOPDebate"
ID708104706908942340,Trump,Demian Hammock,3/10/2016 20:38,"Sackville, New Brunswick",null,0,negative,negative,,#GOPDebate Would you move to Canada if Trump became President ? https://t.co/7norhcUUZb https://t.co/qna9LONRSE
ID708110085176889345,Trump,Sebastian J Russo,3/10/2016 20:59,null,Eastern Time (US & Canada),64,negative,negative,negative,"RT @immigrant4trump: Trump: 'Politicians are all talk, no action' Look?https://t.co/CnYQ1FC8KF #Trump2016 #GOPDebate #Florida #FLPrimary h…"
ID708102510179852288,Trump,Justice Milk,3/10/2016 20:29,null,null,0,neutral,neutral,neutral,"#gopdebate #Trump #MemeHistory #BrownAndUnbothered #donaldtrumpTheVulgarPuppy @YouTubehttps://t.co/GU8IQP1b1A https://t.co/5UaxFpchet"
ID708107330479587328,Trump,Mike Schlossberg,3/10/2016 20:48,"?T: 40.673778,-75.13303",Quito,4,negative,negative,negative,What will Trump lie about first tonight? #GOPDebate
ID708031415724744704,Trump,Vincent Bello,3/10/2016 15:46,null,null,43,neutral,positive,neutral,"RT @Art05hr3d: https://t.co/x2msN81vwI#OhioPrimary #FloridaPrimary  #Trump2016 #GOPDebate  #MakeAmericaGreatAgainCarpe Diem https://t.co/…"
ID708109812861513728,Trump,Joseph ?ez,3/10/2016 20:58,"California, USA",Eastern Time (US & Canada),0,negative,negative,negative,Trump looking around during the #MomentOfSilence for Nancy Reagan. #GOPDebate
ID708099632732237825,Trump,Judith V. Godwin,3/10/2016 20:18,"Georgia, USA",null,192,positive,positive,negative,"RT @immigrant4trump: The American people are DONE with career politicians""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…"
ID708001131415244800,Trump,greeneyeshj,3/10/2016 13:46,null,Mountain Time (US & Canada),179,positive,positive,positive,RT @WesleyRickard: Sue Everhart GOP Chairman Georgia Endorses Donald J Trump for President #NC #FL #OH #MO #IL #DC #GOPDebate  #jpnet https…
ID708100723712638976,Trump,Letsgofishing,3/10/2016 20:22,United States,null,196,positive,positive,negative,RT @MIAMIforTRUMP: Don't forget! ?????The Media lies!????? #MakeAmericaGreatAgain #Trump2016 #TrumpRally #TrumpTrain #TRUMP #GOPDebate http…
ID708107119296294912,Trump,Iditacup Espresso,3/10/2016 20:47,"Wasilla, AK",Alaska,29,positive,positive,positive,RT @ladies4trump: #GOPDebate - let's increase the hashtags- and really pull for him tonight! It's our job as #trump troopers to get our mes…
ID708057091013906432,Trump,David Tanner,3/10/2016 17:29,null,null,85,negative,negative,negative,"RT @tgradous: #Trump Has The Lowest Favorability Ratings EVER For a Frontrunnerhttps://t.co/HDXsoYyS5o… #GOPDebate #NeverTrump https://t.c…"
ID708101865343311872,Trump,Donnenhoffer,3/10/2016 20:26,Pacific NW.,null,3,negative,negative,negative,RT @seccathaholic: The emcee of the #GOPDebate keeps telling the audience to be civilized and respectful. Tell that to Trump
ID708107793169915904,Trump,R.O.C.K. in the USSA,3/10/2016 20:50,Loc: Dar al-Harb  House of War,Pacific Time (US & Canada),3,negative,negative,negative,RT @BlackIrishI: Trump Displays Fake Trump Steaks And Water During Victory Speech https://t.co/FuQhVOaIxY via @totalfratmove / #GOPDebate #…
ID708102672386101252,Trump,Dolly de Leon,3/10/2016 20:30,USA,null,0,positive,positive,positive,"@realDonaldTrump CNN #GOPDebate moments away.Go Trump!TRUMP 2016!"
ID708087530755764224,Trump,SeaToShiningSea,3/10/2016 19:29,null,null,22,positive,positive,negative,"RT @WayneDupreeShow: Caller 1 from SW Virginia - I am insulted by anti-Trump supportersCall in ? 202 470 6738https://t.co/cSgpDM32HO #T…"
ID708093703437553665,Trump,Cap C,3/10/2016 19:54,null,Eastern Time (US & Canada),294,positive,positive,negative,"RT @immigrant4trump: MSM always showing Trump Protesters,but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h…"
ID707954714651074562,Trump,Johann Sebastian Bac,3/10/2016 10:42,"Baghdad, Colombia, Florida",Kyiv,9,negative,negative,negative,"RT @ACBadBeat: Der Furher #Trump has not yet tweeted today. Maybe he's studying for #GOPDebate at #TrumpUniversity (Idiot!) #NeverTrump"
ID708109881816059905,Trump,Veterans For Trump,3/10/2016 20:58,null,Central Time (US & Canada),56,positive,positive,positive,"RT @WayneDupreeShow: Caller 5  from NY- I voted for Bill Clinton, now I am switching to Trump Call in ? 202 470 6738https://t.co/cSgpDM…"
ID707965966685179904,Trump,RaeAnn,3/10/2016 11:26,United States,Quito,3,negative,negative,negative,"RT @c314smiley: Trump's modeling agency broke immigration laws, attorneys say https://t.co/YqC1MbuYZR via @CNNMoney  #NeverTrump #GOPdebate"
ID708100708499890176,Trump,julie meyerson ross,3/10/2016 20:22,"Davenport, Iowa",Central Time (US & Canada),0,negative,negative,negative,#GOPDebate Carly is a liar--Trump supporters are not smart.
ID708012812740796417,Trump,Darryl Vestal,3/10/2016 14:33,Stoney Ridge,Eastern Time (US & Canada),15,negative,negative,negative,RT @JasonBBenham: The saddest part of the #GOPDebate  is that no matter how childish #Trump gets many people are loving every minute of it.
ID708104379862102017,Trump,Rachel Ayn Pickens,3/10/2016 20:36,"Baton Rouge, LA",Central Time (US & Canada),1,neutral,neutral,negative,"CNN: We're not biased for Trump!But you have to admire… Not that I like him but… How dare you say we're perpetuating Trump! #GOPDebate"
ID708109649921380352,Trump,Joy Johnston,3/10/2016 20:57,"Atlanta, GA",Eastern Time (US & Canada),4,negative,negative,negative,RT @KinielCat: Trump cannot stand still during the moment of silence for Nancy Reagan. He may ACTUALLY be a 1st grader. #GOPDebate
ID708104571487428608,Trump,Kyle Murphy,3/10/2016 20:37,null,Pacific Time (US & Canada),1,negative,negative,negative,Trump is the kind of guy that would treat his house elf poorly. #GOPDebate
ID708105500945035264,Trump,Larry Martineau,3/10/2016 20:41,Central Texas,null,96,positive,positive,neutral,"RT @immigrant4trump: ?Trump = ACCOMPLISHED BUSINESSMAN?Hillary= ACCOMPLISHED CRIMINAL?https://t.co/CnYQ1FC8KF …  #Trump2016 #GopDebate htt…"
ID708099380511772672,Trump,Adrian Meza,3/10/2016 20:17,null,Tijuana,294,positive,positive,negative,"RT @immigrant4trump: MSM always showing Trump Protesters,but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h…"
ID708098178730618881,Trump,Pam Locker,3/10/2016 20:12,null,null,0,negative,negative,positive,If I were funnier I would be Donald Trump. #GOPDebate
ID708065029258522624,Trump,Dondep,3/10/2016 18:00,Rural Pennsylvania far from DC,Eastern Time (US & Canada),0,neutral,neutral,positive,"#GOPDebate  Totally in heaven with BOTH @secupp  AND @kayleighmcenany  in bright red, sparring brilliantly over Trump's virtues & vices. mm!"
ID708098391633305600,Trump,Patrick Clark,3/10/2016 20:13,"Evergreen, CO",null,0,negative,negative,negative,"What's the difference between @realDonaldTrump and Hitler?We can stop Trump before it is too late. Go out and vote#GOPDebate #vote #trump"
