"","X","id","tweet_id","candidate","tweet_created","tweet_location","user_timezone","text","sentiment","predictedLabel","maxEntPrediction","maxEntProbability","svmPrediction","svmProbability","glmnetPrediction","glmnetProbability","consensusCount","probabilityLabel","consensusLabel"
"44194",44194,65474,"ID708142154607140864","Donald Trump","03/10/2016 23:07","South Carolina, USA","America/New_York","RT @Deanofcomedy: Trump is truly an embarrassment - not just to the GOP but to America #GOPDebate","Negative",1,1,1,1,0.947434027363047,1,0.900706367840199,3,1,1
"19813",19813,41069,"ID708148018940227586","Donald Trump","03/10/2016 23:30","null","Central Time (US & Canada)","RT @pattonoswalt: ""I fellated Bruce Willis at Limelight in 1988 and I'm still less gay than these 3 limpdicks."" -- Trump #GOPDebate","Negative",1,1,1,1,0.879256255293267,1,0.816522770411023,3,1,1
"20385",20385,41641,"ID708182680068685824","Donald Trump","03/11/2016 01:48","New York, Hawaii","Quito","RT @loudobbsnews: Trump proved he can be constrained for two hours, calm despite provocation  Great work, great close. Great Job. #Dobbs #","Negative",3,3,1,3,0.707762118456073,3,0.764579503886874,3,3,3
"9895",9895,31141,"ID708158909698203648","Ted Cruz","03/11/2016 00:13","?T: 40.450015,-86.91919","none","RT @pattonoswalt: ""There is a doorway made of screaming hornets. Make a key from my ribcage. Pass the threshold. I die in dreams."" -- Cruz","Negative",1,1,0.999999795658272,1,0.882517822211723,1,0.807845554244202,3,1,1
"41656",41656,62933,"ID708168050877411329","Donald Trump","03/11/2016 00:49","London - Tripoli","none","RT @KhaledBeydoun: Trump's Islamophobia & xenophobia capture the headlines, but let's not lose sight of rampant anti-Black racism at his r","Negative",1,1,1,1,0.930500972544118,1,0.889994972921418,3,1,1
"36795",36795,58068,"ID708147334702612480","Ted Cruz","03/10/2016 23:27","In my thoughts","Pacific Time (US & Canada)","RT @ajplus: Cruz says he'll kill Common Core. #GOPDebate  These teachers may have better ideas on how to fix public education: https://t.c","Negative",1,1,1,1,0.895103658617243,1,0.852269173112327,3,1,1
"62097",62097,83395,"ID708143908908306432","Donald Trump","03/10/2016 23:13","Plano TX 75074","Mountain Time (US & Canada)","RT @CNNPolitics: Donald Trump: ""We needed this kind of a debate"" https://t.co/QxqBj67aXX #GOPDebate https://t.co/uecKD9wTHD","Negative",1,3,1,1,0.848696993909824,1,0.771530254576897,2,3,1
"49475",49475,70760,"ID708147380944646144","Donald Trump","03/10/2016 23:27","Buford, GA","none","RT @KLSouth: CNN��s John King just gave excellent analogy of #Trump being so Presidential - by relating it to ""Art of the Deal"". He is closi��","Negative",1,1,1,1,0.848269222639204,1,0.757499265232567,3,1,1
"56671",56671,77963,"ID708182822662475776","Donald Trump","03/11/2016 01:48","null","none","RT @TeresaC85469500: #GOPDebate I believe Trump understands World Politics better than anyone since He's the Only one who's done business ","Negative",1,1,1,1,0.857779940387822,1,0.751391034736853,3,1,1
"44159",44159,65439,"ID708436650343448576","Donald Trump","03/11/2016 18:37","texarkana, Arkansas","International Date Line West","RT @ToppHogg: Mr. Muddybelly is not a candidate at #GOPDebate, but he'd give #trump a run for his #money.  https://t.co/XAnFDIQVif https:/","Negative",1,1,1,1,0.9234653857063,1,0.88914455777917,3,1,1
"568",568,20568,"ID708042002043179008","Donald Trump","03/10/2016 16:29","New York, NY","Eastern Time (US & Canada)","Another day, another Trump controversy -- more distractions and more excuses perfectly timed with the #GOPDebate  https://t.co/Zmw2xsbQft","Negative",1,1,0.99871581391585,1,0.862601318211058,1,0.820363534521903,3,1,1
"17663",17663,38916,"ID708250716327043072","Donald Trump","03/11/2016 06:18","null","Amsterdam","RT @JamesWillems: ""I'm absolutely #TeamIronMan. Love the guy. Golf with him all the time."" - Donald Trump, #GOPDebate","Negative",1,1,0.9999999999489,1,0.824968704420276,1,0.717500355671741,3,1,1
"3167",3167,23170,"ID708099961217544193","Donald Trump","03/10/2016 20:19","New York, USA","none","trump gets away with what he does...carly...is cause people like him...hard concept for you to understand #GOPDebate","Negative",1,3,0.999999999999803,1,0.909458070846115,1,0.854216740068055,2,3,1
"59828",59828,81124,"ID708164731127791616","Donald Trump","03/11/2016 00:36","null","Central Time (US & Canada)","RT @trump2016fan: #Trump was Right! Attack on CA Power Station Was Likely Muslim Terrorist Rehearsal  https://t.co/rh8q2xD2jR #GOPDebate #","Negative",1,1,1,1,0.882170728733415,1,0.77613161203759,3,1,1
