"id","tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"20001","ID708105457362083841","Donald Trump","Nikki Now","03/10/2016 20:41","null","none","54","RT @Chris_Dignam: Another #TrumpRally , another senseless assault https://t.co/9Hcdk2sIJ7 #Trump #GOPDebate"
"20002","ID708100716963889152","Donald Trump","President Trump","03/10/2016 20:22","The White House","none","0","If @CNN asks #Trump abt pledges at rally's, can they also talk about #Obama? #Trump2016 #GOPDebate #CNNDebate #CNN https://t.co/tyw5t2ShZs"
"20003","ID708030623974346752","Donald Trump","SergZerg","03/10/2016 15:43","null","Moscow","313","RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h"
"20004","ID708081645614534656","Donald Trump","Sarah 4 TRUMP","03/10/2016 19:06","Virginia, USA","none","11","RT @JoePrich: @MichelleFields  this entire thing was a HOAX designed to put Trump on the defensive before the #GOPdebate"
"20005","ID708108362085474310","Donald Trump","Matt Coggins","03/10/2016 20:52","Kansas City","Eastern Time (US & Canada)","1","Considering how aggressively the GOP has campaigned against Trump, they must not plan on him being the nominee #GOPDebate"
"20006","ID708008319416283136","Marco Rubio","Top Blog Sites","03/10/2016 14:15","San Diego, California","Pacific Time (US & Canada)","42","RT @MDGallar: Rubio now denies lying to FL voters or supporting amnesty. We have photos of it Li'l Marco.  #GOPdebate #FLprimary https://t."
"20007","ID708104706908942340","Donald Trump","Demian Hammock","03/10/2016 20:38","Sackville, New Brunswick","none","0","#GOPDebate Would you move to Canada if Trump became President ? https://t.co/7norhcUUZb https://t.co/qna9LONRSE"
"20008","ID708110085176889345","Donald Trump","Sebastian J Russo","03/10/2016 20:59","null","Eastern Time (US & Canada)","64","RT @immigrant4trump: Trump: 'Politicians are all talk, no action'  Look?https://t.co/CnYQ1FC8KF #Trump2016 #GOPDebate #Florida #FLPrimary h"
"20009","ID708109805215490048","John Kasich","The Washington Times","03/10/2016 20:58","Washington, D.C.","Eastern Time (US & Canada)","5","#JohnKasich must win home state of #Ohio without support of conservative activists: https://t.co/eHpZGDytrv #GOPDebate"
"20010","ID708100642636742661","Marco Rubio","Madman in a Blue Box","03/10/2016 20:22","Columbus, OH","Eastern Time (US & Canada)","5","RT @sueinphilly: This will be the last time we see Rubio at #GOPDebate  Bye #inners"
"20011","ID707793722025644032","John Kasich","Axion","03/10/2016 00:02","Dawg Cabin, CA","Pacific Time (US & Canada)","119","RT @AnnTelnaes: Then you're in the wrong party, Gov. Kasich #GOPDebate https://t.co/JPocK5qI9w"
"20012","ID708102510179852288","Donald Trump","Justice Milk","03/10/2016 20:29","null","none","0","#gopdebate #Trump #MemeHistory #BrownAndUnbothered #donaldtrump  TheVulgarPuppy @YouTube  https://t.co/GU8IQP1b1A https://t.co/5UaxFpchet"
"20013","ID708107330479587328","Donald Trump","Mike Schlossberg","03/10/2016 20:48","?T: 40.673778,-75.13303","Quito","4","What will Trump lie about first tonight? #GOPDebate"
"20014","ID708089169449492481","Donald Trump","Mimi874","03/10/2016 19:36","null","Quito","136","RT @scottienhughes: You know it's going to be a great night when you U run into @AnnCoulter before #GOPDebate #Trump https://t.co/F36lSkkqXw"
"20015","ID708108488279519232","Ted Cruz","Roger Hanson","03/10/2016 20:53","Ohio","Eastern Time (US & Canada)","0","Cruz has a  number of parallels to another first-term Senator who was elected  president in 2008; US President Barack Obama #GOPDebate"
"20016","ID707808215673790465","Donald Trump","VOTE 4 TRUMP 2016!!","03/10/2016 01:00","Texas, USA","none","39","RT @nepafortrump: #TeamTrumpPA JOIN US at #GOPDebate WATCH' PARTY TONIGHT (Wilkes Barre Pa) =FEW SEATS REMAIN: https://t.co/cAjemldxaM http"
"20017","ID708108695746453504","Ted Cruz","Shar K","03/10/2016 20:54","null","Central Time (US & Canada)","0","#GOPDebate #CruzCrew 100% for TED CRUZ! #UniteWithCruz  https://t.co/veR5v24ntG"
"20018","ID708031415724744704","Donald Trump","Vincent Bello","03/10/2016 15:46","null","none","43","RT @Art05hr3d: https://t.co/x2msN81vwI #OhioPrimary #FloridaPrimary  #Trump2016 #GOPDebate  #MakeAmericaGreatAgain Carpe Diem https://t.co/"
"20019","ID708110019519246336","Ted Cruz","Asad Abbas Minhas","03/10/2016 20:59","Chakwal,Pakistan","Islamabad","2","RT @bpolitics: Who is Ted Cruz? Here's more on his background https://t.co/JhmyFgfNlw #GOPDebate"
"20020","ID708101154371084289","Donald Trump","Carrie Costabile","03/10/2016 20:24","Chicago, Il.","Central Time (US & Canada)","4","RT @ConservMemes: Oh give me a break Anderson. You have been the Trump News Network since June. #GOPDebate"
"20021","ID708081384066129920","Donald Trump","Watchman on the Wall","03/10/2016 19:05","Oxnard,Calif","Pacific Time (US & Canada)","82","RT @immigrant4trump: Florida Vote For Trump ""March 15"" #FLPrimary #FloridaPrimary #Trump2016 #GOPDebate #AlwaysTrump Watch Video: https://t"
"20022","ID708076240679227392","Donald Trump","Melissa Wade","03/10/2016 18:45","Texas, USA","Pacific Time (US & Canada)","313","RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h"
