"","X.3","X.2","X.1","X","State","Abbreviation","posRatio","negRatio"
"1",1,1,1,1,"USA","USA",0.185720660419456,0.814279339580544
"2",2,2,2,2,"alabama","AL",0.222672064777328,0.777327935222672
"3",3,3,3,3,"alaska","AK",0.137931034482759,0.862068965517241
"4",4,4,4,4,"arizona","AZ",0.212581344902386,0.787418655097614
"5",5,5,5,5,"arkansas","AR",0.17,0.83
"6",6,6,6,6,"california","CA",0.166223908918406,0.833776091081594
"7",7,7,7,7,"colorado","CO",0.175480769230769,0.824519230769231
"8",8,8,8,8,"connecticut","CT",0.121212121212121,0.878787878787879
"9",9,9,9,9,"delaware","DE",0.102040816326531,0.897959183673469
"10",10,10,10,10,"district of columbia","DC",0.0476190476190477,0.952380952380952
"11",11,11,11,11,"florida","FL",0.21876647337902,0.78123352662098
"12",12,12,12,12,"georgia","GA",0.230446927374302,0.769553072625698
"13",13,13,13,13,"hawaii","HI",0.154761904761905,0.845238095238095
"14",14,14,14,14,"idaho","ID",0.252873563218391,0.747126436781609
"15",15,15,15,15,"illinois","IL",0.141156462585034,0.858843537414966
"16",16,16,16,16,"indiana","IN",0.183381088825215,0.816618911174785
"17",17,17,17,17,"iowa","IA",0.194444444444444,0.805555555555556
"18",18,18,18,18,"kansas","KS",0.173611111111111,0.826388888888889
"19",19,19,19,19,"kentucky","KY",0.178861788617886,0.821138211382114
"20",20,20,20,20,"louisiana","LA",0.217948717948718,0.782051282051282
"21",21,21,21,21,"maine","ME",0.153061224489796,0.846938775510204
"22",22,22,22,22,"maryland","MD",0.140425531914894,0.859574468085106
"23",23,23,23,23,"massachusetts","MA",0.142592592592593,0.857407407407407
"24",24,24,24,24,"michigan","MI",0.261829652996845,0.738170347003155
"25",25,25,25,25,"minnesota","MN",0.118320610687023,0.881679389312977
"26",26,26,26,26,"mississippi","",0.243243243243243,0.756756756756757
"27",27,27,27,27,"missouri","MO",0.210826210826211,0.789173789173789
"28",28,28,28,28,"montana","MT",0.298507462686567,0.701492537313433
"29",29,29,29,29,"nebraska","NE",0.232142857142857,0.767857142857143
"30",30,30,30,30,"nevada","NV",0.258064516129032,0.741935483870968
"31",31,31,31,31,"new hampshire","NH",0.203883495145631,0.796116504854369
"32",32,32,32,32,"new jersey","NJ",0.244019138755981,0.755980861244019
"33",33,33,33,33,"new mexico","NM",0.157894736842105,0.842105263157895
"34",34,34,34,34,"new york","NY",0.155974102413184,0.844025897586816
"35",35,35,35,35,"north carolina","NC",0.229665071770335,0.770334928229665
"36",36,36,36,36,"north dakota","ND",0.136363636363636,0.863636363636364
"37",37,37,37,37,"ohio","OH",0.226950354609929,0.773049645390071
"38",38,38,38,38,"oklahoma","OK",0.224066390041494,0.775933609958506
"39",39,39,39,39,"oregon","OR",0.163461538461538,0.836538461538462
"40",40,40,40,40,"pennsylvania","PA",0.196521739130435,0.803478260869565
"41",41,41,41,41,"rhode island","RI",0.127659574468085,0.872340425531915
"42",42,42,42,42,"south carolina","SC",0.241071428571429,0.758928571428571
"43",43,43,43,43,"south dakota","SD",0.0303030303030303,0.96969696969697
"44",44,44,44,44,"tennessee","TN",0.246724890829694,0.753275109170306
"45",45,45,45,45,"texas","TX",0.176638176638177,0.823361823361823
"46",46,46,46,46,"utah","UT",0.124031007751938,0.875968992248062
"47",47,47,47,47,"vermont","VT",0.0256410256410257,0.974358974358974
"48",48,48,48,48,"virginia","VA",0.163568773234201,0.836431226765799
"49",49,49,49,49,"washington","WA",0.123299319727891,0.876700680272109
"50",50,50,50,50,"west virginia","WV",0.205128205128205,0.794871794871795
"51",51,51,51,51,"wisconsin","WI",0.169724770642202,0.830275229357798
"52",52,52,52,52,"wyoming","WY",0.137931034482759,0.862068965517241
