Date and hour EST (UTC = + 5), count, minid, maxid
2016-03-03 00,26,705256531625951232,705270670599409664
2016-03-03 01,21,705272213981638656,705286379614314496
2016-03-03 02,6,705287448046276608,705300335154167808
2016-03-03 03,5,705303704606408705,705313469881458688
2016-03-03 04,9,705317056003117056,705331096007925760
2016-03-03 05,5,705333039648415744,705344655546826752
2016-03-03 06,6,705347119419412481,705359598341877760
2016-03-03 07,10,705363073847066624,705376519783231488
2016-03-03 08,15,705378003002519553,705391693453983745
2016-03-03 09,28,705393489693966336,705407043985915904
2016-03-03 10,31,705407656157032448,705422440155885570
2016-03-03 11,48,705422554987696128,705435722933788672
2016-03-03 12,92,705437746324750336,705452489307496449
2016-03-03 13,32,705453911105269761,705467124400177152
2016-03-03 14,20,705467797963341824,705482201480167425
2016-03-03 15,12,705484025427787776,705497562254594048
2016-03-03 16,99,705498544065662976,705512780099665920
2016-03-03 17,69,705513185269383169,705527957176098816
2016-03-03 18,66,705528279759982593,705543183870988288
2016-03-03 19,108,705543423873445889,705558082479378434
2016-03-03 20,111,705558583115526145,705573452137238528
2016-03-03 21,2403,705573533594861568,705588571659440128
2016-03-03 22,2030,705588575694245888,705603669954138112
2016-03-03 23,852,705603676929462274,705618766793719808
2016-03-04 00,310,705618834573504512,705633627879510016
2016-03-04 01,97,705633931459080192,705648964083658756
2016-03-04 02,52,705649515928260608,705663856991821825
2016-03-04 03,29,705664180922134530,705678799313235969
2016-03-04 04,19,705679744436723712,705693563921768452
2016-03-04 05,27,705694360835219457,705708732186021888
2016-03-04 06,41,705709505049452544,705723993068855296
2016-03-04 07,40,705725073563344896,705739221923827712
2016-03-04 08,47,705739910410469377,705753898842136576
2016-03-04 09,41,705755173810020353,705769568648605696
2016-03-04 10,27,705770068643332097,705783549027340288
2016-03-04 11,27,705784895130435590,705799732812259329
2016-03-04 12,30,705799984466272256,705814560205357057
2016-03-04 13,27,705815323438481408,705830127624724480
2016-03-04 14,13,705832309883277312,705844852466913280
2016-03-04 15,11,705846295508996096,705860124569636865
2016-03-04 16,7,705861071324577792,705873574964367361
2016-03-04 17,34,705877677564035072,705890071287693312
2016-03-04 18,39,705890632867323904,705905431319687168
