Date and hour EST (UTC = + 5), count, minid, maxid
2016-02-24 23,6,702712725332484096,702717422537740288
2016-02-25 00,14,702719785344307200,702732191323717632
2016-02-25 01,4,702735514818973697,702747439841673216
2016-02-25 02,13,702751380012830720,702764406799618049
2016-02-25 03,4,702769140935712768,702773930789085184
2016-02-25 04,1,702792196647301120,702792196647301120
2016-02-25 05,1,702809038678048768,702809038678048768
2016-02-25 06,21,702810414699126784,702825060860493824
2016-02-25 07,57,702825392218869760,702840348456964097
2016-02-25 08,76,702840472054558721,702855198981677058
2016-02-25 09,52,702855854236811265,702870385549713409
2016-02-25 10,77,702870674151501824,702885647057424384
2016-02-25 11,156,702885833662025728,702900799098085377
2016-02-25 12,140,702900969164709888,702915953710014464
2016-02-25 13,296,702916360502792193,702931041581813760
2016-02-25 14,273,702931106304303104,702946147648733184
2016-02-25 15,219,702946299478417409,702961255812825089
2016-02-25 16,204,702961320996401152,702976317646626816
2016-02-25 17,297,702976426140631040,702991395825569796
2016-02-25 18,345,702991516172689414,703006477095714816
2016-02-25 19,352,703006633891389440,703021588027932673
2016-02-25 20,11752,703021688351559680,703036759802822657
2016-02-25 21,35796,703036760100610048,703051859095760896
2016-02-25 22,44549,703051859989102592,703066958774849536
2016-02-25 23,13803,703066959441580033,703082057979838464
2016-02-26 00,4913,703082062274813952,703097156853374976
2016-02-26 01,2197,703097162494660608,703112250278608896
2016-02-26 02,1259,703112265210331136,703127327413145600
2016-02-26 03,783,703127383319031810,703142454401208320
2016-02-26 04,556,703142468846379010,703157535218348032
2016-02-26 05,450,703157695658897408,703172652697935872
2016-02-26 06,761,703172681122729985,703187750334271488
2016-02-26 07,1156,703187762678206467,703202842807394304
2016-02-26 08,1330,703202870649331712,703217945351159808
2016-02-26 09,1259,703217953915985921,703233050163818496
2016-02-26 10,1265,703233061455073280,703248152170598400
2016-02-26 11,1071,703248160374718464,703263199118946304
2016-02-26 12,805,703263275048284160,703278319257554944
2016-02-26 13,478,703278364124180482,703293424036761600
2016-02-26 14,322,703293461701763073,703308519634833408
2016-02-26 15,311,703308606008008704,703323632668418052
2016-02-26 16,510,703323669506846721,703338731252686848
2016-02-26 17,315,703338753130176512,703353684638494720
2016-02-26 18,242,703353851672301568,703368939171028992
2016-02-26 19,227,703368967595945984,703384011058618368
2016-02-26 20,290,703384152049999872,703399100130136064
2016-02-26 21,226,703399226609369088,703414204598849536
2016-02-26 22,304,703414361700741120,703429334887837700
2016-02-26 23,226,703429387304222720,703444444205314048
2016-02-27 00,26,703444529555181569,703445696075026434
