Date and hour EST (UTC = + 5), count, minid, maxid
2016-02-24 23,2,702713878472482816,702715987628572677
2016-02-25 00,6,702719824917618688,702733693924855810
2016-02-25 01,3,702735514818973697,702747439841673216
2016-02-25 03,1,702772556961619968,702772556961619968
2016-02-25 04,2,702780267170115584,702780584142073856
2016-02-25 06,2,702810523994341380,702825060860493824
2016-02-25 07,1,702827001778810880,702827001778810880
2016-02-25 08,3,702840605915926528,702844690186502144
2016-02-25 09,4,702864840692527105,702869465512468481
2016-02-25 10,3,702870774097518592,702884094242381824
2016-02-25 11,78,702889152170369024,702900655447355392
2016-02-25 12,72,702900990022914048,702915953710014464
2016-02-25 13,222,702916947831189506,702930959927128064
2016-02-25 14,149,702931106304303104,702946083219963905
2016-02-25 15,122,702946220575162368,702961214926798848
2016-02-25 16,65,702961320996401152,702975859037237248
2016-02-25 17,45,702976773106098177,702989834416054272
2016-02-25 18,56,702991709005807616,703006424792563713
2016-02-25 19,94,703006918944526336,703021537058656256
2016-02-25 20,4065,703021709687984128,703036759467122688
2016-02-25 21,17774,703036760100610048,703051858198319104
2016-02-25 22,14654,703051860291166209,703066955876593664
2016-02-25 23,2898,703066959441580033,703082056805441536
2016-02-26 00,1898,703082062274813952,703097153279782913
2016-02-26 01,399,703097162494660608,703112250278608896
2016-02-26 02,258,703112297179287552,703127353321345024
2016-02-26 03,124,703127425840861185,703142436504080384
2016-02-26 04,102,703142593597562882,703157501588471810
2016-02-26 05,104,703157867637923840,703172517670711296
2016-02-26 06,159,703172701263794178,703187743627747328
2016-02-26 07,192,703187833650061312,703202759554768896
2016-02-26 08,191,703202986215006208,703217907774283777
2016-02-26 09,242,703217974652436480,703232882156957696
2016-02-26 10,205,703233081155530752,703248121233600512
2016-02-26 11,138,703248183808294912,703263140901879808
2016-02-26 12,103,703263306803515392,703278039447298048
2016-02-26 13,96,703278520420737024,703293404235505664
2016-02-26 14,89,703293682255073280,703308143237816320
2016-02-26 15,59,703308737214189568,703323297505673216
2016-02-26 16,78,703323744316497924,703338736088694784
2016-02-26 17,61,703338934856761344,703352180502302720
2016-02-26 18,50,703353887336620037,703368770883096576
2016-02-26 19,36,703369391413526532,703383298186330113
2016-02-26 20,27,703384163374620672,703399073634754560
2016-02-26 21,38,703399451923189760,703413707364311040
2016-02-26 22,11,703414656883265536,703427279192514560
2016-02-26 23,22,703430632307867649,703444433728098304
2016-02-27 00,7,703444564615569408,703445680447164416
