Date and hour EST (UTC = + 5), count, minid, maxid
2016-03-03 00,45,705256531625951232,705271058232807424
2016-03-03 01,23,705271752700485632,705285720752017408
2016-03-03 02,14,705287156760244224,705300769143177217
2016-03-03 03,14,705302479731367936,705312443136811008
2016-03-03 04,12,705321371568484352,705331516088446976
2016-03-03 05,5,705332343112749056,705341449009766400
2016-03-03 06,21,705347119419412481,705361825857183745
2016-03-03 07,21,705363987467264001,705376286802227204
2016-03-03 08,27,705377552014163968,705391437807009792
2016-03-03 09,40,705393397452767232,705407300727652352
2016-03-03 10,75,705408583245176832,705422346090213376
2016-03-03 11,45,705422635312812032,705437571065622529
2016-03-03 12,154,705437598295179265,705452122612097028
2016-03-03 13,73,705453870869323776,705467631814512641
2016-03-03 14,181,705468314865180672,705482860506050560
2016-03-03 15,77,705482884396793856,705497745256108034
2016-03-03 16,122,705498018405945344,705513058525839361
2016-03-03 17,191,705513291385180160,705528128383258625
2016-03-03 18,208,705528280938627072,705543162501144580
2016-03-03 19,329,705543318948745216,705558358544093184
2016-03-03 20,898,705558383869308928,705573471221391360
2016-03-03 21,26337,705573483263213569,705588573140074496
2016-03-03 22,39709,705588574482251777,705603673766895617
2016-03-03 23,13915,705603674526130176,705618770509832192
2016-03-04 00,3662,705618782450905092,705633866439008256
2016-03-04 01,1580,705633873900675074,705648957100167169
2016-03-04 02,904,705648991162118144,705664063825555456
2016-03-04 03,424,705664094808834048,705679124606509057
2016-03-04 04,450,705679178302136320,705694263045185537
2016-03-04 05,389,705694320645545984,705709342058631168
2016-03-04 06,825,705709395179651072,705724466727407617
2016-03-04 07,2040,705724479964577792,705739525834862592
2016-03-04 08,1250,705739577076674560,705754665590194176
2016-03-04 09,1081,705754670950645760,705769755886620674
2016-03-04 10,941,705769769631391744,705784858707103744
2016-03-04 11,678,705784869952090112,705799949154426880
2016-03-04 12,541,705799982540943360,705815043686821888
2016-03-04 13,467,705815076394012672,705830052659728385
2016-03-04 14,372,705830204720058368,705845208248811520
2016-03-04 15,482,705845283494596608,705860331667460096
2016-03-04 16,387,705860365742047232,705875388224970752
2016-03-04 17,299,705875540830453764,705890390948204545
2016-03-04 18,283,705890632645152768,705905651701063680
