Date and hour EST (UTC = + 5), count, minid, maxid
2016-03-03 00,80,705256438587891712,705271436756189185
2016-03-03 01,119,705271521674006528,705286563618545665
2016-03-03 02,69,705286713367592960,705301473354055680
2016-03-03 03,44,705301689394401280,705316776620392448
2016-03-03 04,54,705317122956603397,705331625807245312
2016-03-03 05,54,705332027827077120,705346902942994432
2016-03-03 06,175,705347084858200065,705362024574930945
2016-03-03 07,151,705362129700827136,705377158756061184
2016-03-03 08,199,705377332136050688,705392163253784579
2016-03-03 09,357,705392300851998720,705407338107301890
2016-03-03 10,423,705407479639875585,705422475048456192
2016-03-03 11,583,705422561073618944,705437573519265792
2016-03-03 12,727,705437598295179265,705452656010067968
2016-03-03 13,501,705452695621083136,705467765067550722
2016-03-03 14,358,705467780666040321,705482875102060544
2016-03-03 15,433,705482879279693826,705497973548044288
2016-03-03 16,572,705497992892174336,705513010505232384
2016-03-03 17,665,705513112246611969,705528171106594816
2016-03-03 18,908,705528208276525058,705543236916420612
2016-03-03 19,1889,705543278054260736,705558371320119296
2016-03-03 20,3269,705558380329332736,705573471816916992
2016-03-03 21,97206,705573475214364673,705588574125629441
2016-03-03 22,105178,705588574419288064,705603673766895617
2016-03-03 23,41193,705603673947283456,705618772036603905
2016-03-04 00,13065,705618776805527552,705633872726216704
2016-03-04 01,6011,705633873900675074,705648970677112833
2016-03-04 02,3364,705648974233874434,705664069403934721
2016-03-04 03,1790,705664076026744833,705679170299232260
2016-03-04 04,1519,705679174963322881,705694263045185537
2016-03-04 05,1568,705694277041573888,705709366297694208
2016-03-04 06,3683,705709371607613440,705724468723732481
2016-03-04 07,4828,705724471286562816,705739567379255301
2016-03-04 08,4374,705739572592816129,705754668564000768
2016-03-04 09,4722,705754670950645760,705769766603137024
2016-03-04 10,4184,705769783015256064,705784866588078080
2016-03-04 11,3041,705784879062130688,705799965700919296
2016-03-04 12,2245,705799969857384450,705815056068509696
2016-03-04 13,1931,705815072887549953,705830153570521088
2016-03-04 14,1718,705830173527003136,705845240935145473
2016-03-04 15,1565,705845276234293248,705860362684354561
2016-03-04 16,1388,705860365742047232,705875461813874688
2016-03-04 17,1153,705875467488735232,705890544208183297
2016-03-04 18,1128,705890574214131712,705905644772024321
