Date and hour (UTC = EST + 5), count, minid, maxid
2016-02-24 00,107,702357422652956672,702372018361077760
2016-02-24 01,78,702372549301248001,702387372734947328
2016-02-24 02,55,702387776650657793,702402545520611328
2016-02-24 03,71,702402646297210880,702417530825121792
2016-02-24 04,71,702417983684132864,702432688729407489
2016-02-24 05,42,702433391698911232,702447544983490564
2016-02-24 06,84,702448016154890241,702462856751665152
2016-02-24 07,73,702463240207466497,702478046226485248
2016-02-24 08,152,702478085162213377,702493174372020224
2016-02-24 09,208,702493216206098433,702508078252429312
2016-02-24 10,206,702508319546613763,702523359104348161
2016-02-24 11,137,702523436598317057,702538380454670336
2016-02-24 12,296,702538619110739968,702553575868620801
2016-02-24 13,177,702553693325914113,702568522854109185
2016-02-24 14,210,702568676902486023,702583774958264320
2016-02-24 15,346,702583821343047681,702598796211949568
2016-02-24 16,208,702599071131807745,702613676256198656
2016-02-24 17,358,702614036257632257,702628940909666304
2016-02-24 18,259,702629078147313664,702644092581367808
2016-02-24 19,361,702644202014789635,702659222077513728
2016-02-24 20,328,702659322975817728,702674362336305153
2016-02-24 21,548,702674381001134084,702689435532582912
2016-02-24 22,1452,702689494030356480,702704566832226304
2016-02-24 23,1097,702704584091783168,702719611976830976
2016-02-25 00,255,702719679454838784,702734762356695040
2016-02-25 01,186,702734979898462209,702749825385799681
2016-02-25 02,174,702749949428011008,702764962649808896
2016-02-25 03,205,702765000407052289,702779947186663424
2016-02-25 04,106,702780136874078209,702795038804172800
2016-02-25 05,114,702795422876749824,702810258138222592
2016-02-25 06,219,702810292795867137,702825360191328256
2016-02-25 07,563,702825430399782913,702840448667295744
2016-02-25 08,759,702840472054558721,702855561994506240
2016-02-25 09,855,702855566432010240,702870638164385792
2016-02-25 10,1011,702870674151501824,702885762119966721
2016-02-25 11,1292,702885770839859200,702900863388557314
2016-02-25 12,1231,702900883470753793,702915958973861888
2016-02-25 13,1524,702915965374349314,702931059294539776
2016-02-25 14,1562,702931068744118272,702946161158557696
2016-02-25 15,2035,702946165931778052,702961255812825089
2016-02-25 16,2467,702961262573985792,702976353386291202
2016-02-25 17,2846,702976365746782208,702991459579006976
2016-02-25 18,4390,702991461453860865,703006560469954560
2016-02-25 19,7011,703006561954877441,703021659893080064
2016-02-25 20,97013,703021661855969280,703036759832031233
2016-02-25 21,393828,703036759962230784,703051859355836416
2016-02-25 22,366996,703051859397890050,703066958825033728
2016-02-25 23,113645,703066958862938113,703082057979838464
2016-02-26 00,41475,703082058395033600,703097157159514112
2016-02-26 01,20829,703097157901889536,703112257274679297
2016-02-26 02,12031,703112258260324352,703127354701254656
2016-02-26 03,7310,703127358492905472,703142454401208320
2016-02-26 04,4821,703142456590663680,703157554327605252
2016-02-26 05,4626,703157556068249601,703172653067010048
2016-02-26 06,8239,703172655457783810,703187752976826369
2016-02-26 07,11475,703187759826149377,703202853767221248
2016-02-26 08,11741,703202855377723392,703217953290874885
2016-02-26 09,11299,703217953915985921,703233052948836354
2016-02-26 10,10756,703233053636726785,703248152762003457
2016-02-26 11,9661,703248154162900992,703263248930328576
2016-02-26 12,8199,703263253183504384,703278349943218176
2016-02-26 13,5990,703278359128576001,703293449219366912
2016-02-26 14,4675,703293451601743872,703308550647345152
2016-02-26 15,4005,703308552186806276,703323636904697857
2016-02-26 16,4377,703323657075073025,703338749715943424
2016-02-26 17,3559,703338752966529028,703353848199512064
2016-02-26 18,2730,703353849898110976,703368942836842496
