Date and hour EST (UTC = + 5), count, minid, maxid
2016-03-03 00,322,705256427263234048,705271481484206080
2016-03-03 01,327,705271508134793216,705286563618545665
2016-03-03 02,198,705286644992188416,705301532175175680
2016-03-03 03,191,705301689394401280,705316777434058752
2016-03-03 04,156,705316889648504832,705331756602302465
2016-03-03 05,197,705331918695489537,705346953547276288
2016-03-03 06,476,705347001320284160,705362070804369408
2016-03-03 07,559,705362110692220928,705377168256323588
2016-03-03 08,713,705377221645570048,705392275749208064
2016-03-03 09,1032,705392295101624321,705407338107301890
2016-03-03 10,2154,705407395728658432,705422478856818688
2016-03-03 11,3180,705422481486712832,705437573519265792
2016-03-03 12,3007,705437580477796352,705452676876734467
2016-03-03 13,2261,705452687790313472,705467776241180672
2016-03-03 14,1983,705467780666040321,705482875102060544
2016-03-03 15,1963,705482879279693826,705497973548044288
2016-03-03 16,2409,705497992892174336,705513076309794816
2016-03-03 17,3147,705513090624970758,705528174805790720
2016-03-03 18,3940,705528181927710720,705543268696633344
2016-03-03 19,8900,705543278054260736,705558375099207680
2016-03-03 20,17822,705558376449617921,705573474673283072
2016-03-03 21,335618,705573474966900736,705588574414966784
2016-03-03 22,392539,705588574419288064,705603673905373184
2016-03-03 23,153818,705603673947283456,705618773395419136
2016-03-04 00,49554,705618773441531904,705633872726216704
2016-03-04 01,23975,705633873472802816,705648971876728833
2016-03-04 02,14494,705648974233874434,705664070444294144
2016-03-04 03,8094,705664073527001088,705679170299232260
2016-03-04 04,6307,705679171813576704,705694263045185537
2016-03-04 05,7233,705694271228104704,705709369783091200
2016-03-04 06,11527,705709370626203648,705724469483069440
2016-03-04 07,15483,705724470502285312,705739569023590400
2016-03-04 08,16323,705739571888152576,705754668564000768
2016-03-04 09,17022,705754670761971712,705769768171786240
2016-03-04 10,15290,705769768675090433,705784866588078080
2016-03-04 11,11813,705784869952090112,705799966510456832
2016-03-04 12,9561,705799967898628097,705815066604494848
2016-03-04 13,8082,705815071398744064,705830163943190528
2016-03-04 14,6198,705830169823604736,705845264901234688
2016-03-04 15,5972,705845268974067712,705860362684354561
2016-03-04 16,5154,705860365742047232,705875461813874688
2016-03-04 17,4455,705875465290911744,705890563501871104
2016-03-04 18,4153,705890574214131712,705905661146701825
