candidate,sentiment,text,tweet_coord
Donald Trump,Positive,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.coäó_,
Ted Cruz,Positive,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",
Donald Trump,Negative,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,
Donald Trump,Negative,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.äó_,
Donald Trump,Negative,RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx,
Ted Cruz,Positive,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate",
Donald Trump,Negative,RT @mchamric: RT äóì@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWräóù,
Marco Rubio,Negative,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",
Donald Trump,Negative,RT @mch7576: RT äóì@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfuäóùäóù,
Ted Cruz,Negative,RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to äó_,
Donald Trump,Negative,RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate,
Donald Trump,Negative,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate",
Donald Trump,Neutral,RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,
Donald Trump,Neutral,RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq httpäó_,
Donald Trump,Positive,äóì@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks,
Donald Trump,Negative,@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate,
Ted Cruz,Positive,"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the USÑ_ñ_
#GOPDebate #WakeUpAmerica #CruzCrew httäó_",
Donald Trump,Positive,"RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.
After, only 3 saw him positively.  http://äó_",
John Kasich,Neutral,RT @JohnKasich: Scrap the President's Iran deal. Iran canäó»t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF,
Donald Trump,Positive,"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.
And they vote. 
That should scare eveäó_",
Donald Trump,Negative,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:äó_",
Donald Trump,Negative,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7",
Donald Trump,Negative,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",
Donald Trump,Negative,"RT @SnarkyDemo: #DonaldTrump said heäó»s not äóìpolitically correct.äóù  Which, of course, is Trumpspeak for äóìLetäó»s face it, Iäó»m huge asshole.äóù #äó_",
Ted Cruz,Positive,"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Obaäó_",
Donald Trump,Neutral,RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u,
Donald Trump,Negative,RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://täó_,
Donald Trump,Negative,RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj,
Marco Rubio,Negative,RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate htäó_,
Donald Trump,Negative,"RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agaiäó_",
Donald Trump,Negative,"RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him äó_",
Donald Trump,Neutral,I think @realDonaldTrump was caught by surprise by that first question and was never able to recover his equilibrium. #GOPDebate,
John Kasich,Positive,"RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C",
Donald Trump,Negative,Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate,
Donald Trump,Negative,"RT @SnarkyDemo: What did the #GOPDebate teach us about a future President Trump?  America probably wonäó»t be safe, except if weäó»re attacked äó_",
Marco Rubio,Neutral,"RT @AmyMek: ""God has blessed the Republican party with many great candidates, @TheDemocrats can't even find one"" - @marcorubio #GOPDebate",
John Kasich,Neutral,RT @JohnKasich: The miracle can happen to you. Grow opportunity and grow jobs. #GOPDebate http://t.co/lNqhDgTUdK,
Donald Trump,Negative,RT @palmaceiahome1: Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate,
Donald Trump,Negative,"RT @realDonaldTrump: ""@stinger_inc: @realDonaldTrump  @megynkelly's behaviour at the #GOPDebate was astonishingly biased.""",
Marco Rubio,Positive,"Republicans Debate Economics: Rubio Wins, Bush Falters, Huckabee Exaggerates http://t.co/mOlloaQhWQ #GOPdebate #knowmorenotless @GPNAPLang",
Donald Trump,Negative,"RT @kraig4u: #GOPDebate  The order was to ""take out Trump"", but I wonder if FOX News was the one who took the ""order"" seriously. @HeidiL_RN",
Donald Trump,Negative,"RT @AmyMek: We all owe @realDonaldTrump a huge thank you 4 exposing to the world_ôï_@megynkelly, Chris Wallace, &amp; @FrankLuntz are true Rhinos!äó_",
Donald Trump,Positive,"RT @libertyjibbet: Hey .@realDonaldTrump You know who didn't whine about ""unfair"" questions? @CarlyFiorina Grow a set why don't ya'. #GOPDeäó_",
Donald Trump,Negative,"RT @DanScavino: .@MegynKelly,
You failed the American people tonight. 
You tried to make history, by destroying @realDonaldTrump. #KellyFaiäó_",
Marco Rubio,Positive,RT @TeamMarco: Marco nailed it on abortion. We must protect life. #GOPDebate http://t.co/Nn6S7dO22J,
