Positive,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.coäó_,
Positive,"RT @GregAbbott_TX: @TedCruz: ""On my first day I will rescind every illegal executive action taken by Barack Obama."" #GOPDebate @FoxNews",
Negative,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,
Negative,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.äó_,
Negative,RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx,
Positive,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate",
Negative,RT @mchamric: RT äóì@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWräóù,
Negative,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",
Negative,RT @mch7576: RT äóì@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfuäóùäóù,
Negative,RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to äó_,
Negative,RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate,
Negative,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate",
Neutral,RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,
Neutral,RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq httpäó_,
Positive,äóì@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks,
Negative,@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate,
Positive,"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the USÑ_ñ_
#GOPDebate #WakeUpAmerica #CruzCrew httäó_",
Positive,"RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.
After, only 3 saw him positively.  http://äó_",
Neutral,RT @JohnKasich: Scrap the President's Iran deal. Iran canäó»t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF,
Positive,"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.
And they vote. 
That should scare eveäó_",
Negative,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:äó_",
Negative,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7",
Negative,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",
Negative,"RT @SnarkyDemo: #DonaldTrump said heäó»s not äóìpolitically correct.äóù  Which, of course, is Trumpspeak for äóìLetäó»s face it, Iäó»m huge asshole.äóù #äó_",
Positive,"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Obaäó_",
Neutral,RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u,
Negative,RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://täó_,
Negative,RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj,
Negative,RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate htäó_,
Negative,"RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agaiäó_",
Negative,"RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him äó_",
Neutral,I think @realDonaldTrump was caught by surprise by that first question and was never able to recover his equilibrium. #GOPDebate,
Positive,"RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C",
Negative,Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate,
Negative,"RT @SnarkyDemo: What did the #GOPDebate teach us about a future President Trump?  America probably wonäó»t be safe, except if weäó»re attacked äó_",
Neutral,"RT @AmyMek: ""God has blessed the Republican party with many great candidates, @TheDemocrats can't even find one"" - @marcorubio #GOPDebate",
Neutral,RT @JohnKasich: The miracle can happen to you. Grow opportunity and grow jobs. #GOPDebate http://t.co/lNqhDgTUdK,
Negative,RT @palmaceiahome1: Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate,
Negative,"RT @realDonaldTrump: ""@stinger_inc: @realDonaldTrump  @megynkelly's behaviour at the #GOPDebate was astonishingly biased.""",
Positive,"Republicans Debate Economics: Rubio Wins, Bush Falters, Huckabee Exaggerates http://t.co/mOlloaQhWQ #GOPdebate #knowmorenotless @GPNAPLang",
Negative,"RT @kraig4u: #GOPDebate  The order was to ""take out Trump"", but I wonder if FOX News was the one who took the ""order"" seriously. @HeidiL_RN",
Negative,"RT @AmyMek: We all owe @realDonaldTrump a huge thank you 4 exposing to the world_ôï_@megynkelly, Chris Wallace, &amp; @FrankLuntz are true Rhinos!äó_",
Positive,"RT @libertyjibbet: Hey .@realDonaldTrump You know who didn't whine about ""unfair"" questions? @CarlyFiorina Grow a set why don't ya'. #GOPDeäó_",
Negative,"RT @DanScavino: .@MegynKelly,
You failed the American people tonight. 
You tried to make history, by destroying @realDonaldTrump. #KellyFaiäó_",
Positive,RT @TeamMarco: Marco nailed it on abortion. We must protect life. #GOPDebate http://t.co/Nn6S7dO22J,
Negative,@megynkelly @BretBaier @foxnews WTF was up with Chris Wallace attacking #Trump2016 on bankruptcy then giving Rubio a softball? #GOPDebate,
Negative,"RT @VH1: Honestly, Donald Trump you were ALL types of petty at last night's #GOPDebate _ôÖÍ --&gt; http://t.co/QxdoeMfuqO http://t.co/mcr6lrJh2h",
Negative,Trump gloating abt buying GOP+Dem pols &amp;them doing his bidding IS my 2000s Billionaire caricature MyaCash #GOPDebate https://t.co/5spmU3csIc,
Negative,"RT @DrMartyFox: #Trump Wins Drudge 
Debate Poll 
ä_ç¥Ÿè By A Landslide 
#TedCruz #2 
#GOPDebate #PJNET_ôˆ__ôˆŸ  
äÖï¥Ÿè http://t.co/YUh6j7QqHA http://äó_",
Neutral,"RT @TheBaxterBean: Rubio Budget Raises MiddleClass Taxes, Adds $4.5T Deficit, Cuts InvestmentTax To $0 http://t.co/9S9NuVSAf7 #GOPDebate htäó_",
Neutral,RT @STEEL5757: _ô_ó #DonaldTrump Plaza Casino #TeddyBear Plush in #Tuxedo _ô_ó http://t.co/QHTTX0PLDG _ô_ó #CoolStuff #GOPDebate http://t.co/QJUnzjYäó_,
Positive,"#Trump is right about @megynkelly but really needs to study Matthew 7, verses 3-5. #GOPDebate  https://t.co/ygNprhiehV",
Neutral,RT @AC360: It wasnäó»t all #DonaldTrump. The most memorable #GOPDebate moments right now on #AC360. http://t.co/kDNhGj2RY3 http://t.co/HZ9GwEäó_,
Neutral,#GOPDebate in one picture http://t.co/WMmucJUqJu,
Negative,"RT @NancyLeeGrahn: The cheers from #GOPDebate  audience afterTrump defiantly named @Rosie as the woman he called ""Fat Pig"" were the voices äó_",
Negative,"RT @JohnKasich: Hey @RealDonaldTrump, if you're still looking to chip in, check out http://t.co/dy8KnZ122T
#GOPDebate",
Negative,RT @oftenimprudent: I wish we could teach teenage girls to love themselves as much as Donald Trump loves himself. #GOPdebate,
Neutral,"RT @SooperMexican: Ted Cruz doesn't appreciate your emphatically sarcastic air quotes, megan kelly. #GOPDebate",
Positive,"RT @DanScavino: #GOPDebate Winner!
Drudge 50% (187K) @realDonaldTrump 
TIME 46% (25K) @realDonaldTrump 
FOXSD 49% @realDonaldTrump http://täó_",
Negative,#GOPDebate @FoxNews @realDonaldTrump  in1996 you called @billclinton a two timing slut.  Do you stand by that statement!?,
Positive,"IMHO #GOPDebate 
winners #MarcoRubio #Kasich #DonaldTrump 
Losers #ScottWalker #RandPaul #BenCarson 
All others were completely forgettable",
Positive,RT @JohnKasich: SMALLER GOVT: Ohio government payroll is smaller than it's been in 3 decades. http://t.co/IGfIF4J1TT #GOPDebate http://t.coäó_,
Negative,@theblaze The REAL war on women!@realDonaldTrump @megynkelly @rushlimbaugh #GOPDebate @AnnCoulter,
Negative,RT @AllThingsFlynn: This Trump vs. Fox News conflict is quite the conundrum. Itäó»s like the personification of Greed vs. Hate. Who do I rootäó_,
Positive,"#rubio still my preference but i can see point of his critics over opportunism, inconsistency #gopdebate",
Positive,Did @realDonaldTrump ever tell @megynkelly to go wait in the car? Her bad attitude suggests it. #WarOnWomen #GOPDebate,
Negative,RT @Roy___Rogers: @KnucklDraginSam @GOP @realDonaldTrump @yobynnad1127 AMEN! #Trump2016 #WakeUpAmerica #GOPDebate #tcot #stoprush http://t.äó_,
Negative,"RT @zzcrane: Me watching the Donald Trump bandwagon pass. 
#tlot #tcot #GOPDebate http://t.co/wvQlSxgmCL",
Negative,RT @kesgardner: All Ted Cruz does is attack other Republicans. #GOPDebate,
Negative,"RT @larhunter: If Donald Trump wins the election, then we'll know we're on the Biff-stole-the-almanac timeline. #GOPDebate",
