|No candidate mentioned|,|positive|,|RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on •À_•À__|
|No candidate mentioned|,|neutral|,|Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate|
|trump|,|negative|,|@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate|
|Mike Huckabee|,|positive|,|RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate   Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV|
|Scott Walker|,|positive|,|RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate|
|Chris Christie|,|negative|,|Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate|
|No candidate mentioned|,|negative|,|reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate|
|cruz|,|positive|,"|RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate|"
|No candidate mentioned|,|negative|,|RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate|
|rubio|,|negative|,"|#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.|"
|Scott Walker|,|negative|,|RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger•À_•À__|
|trump|,|negative|,|RT @mch7576: RT •À_•À_•À_@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu•À_•À_•À_•À_|
|No candidate mentioned|,|negative|,|@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone|
|No candidate mentioned|,|neutral|,|#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj|
|Jeb Bush|,|negative|,"|RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t•À_•À__|"
|trump|,|negative|,"|Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate|"
|kasich|,|neutral|,|RT @JohnKasich: Scrap the President's Iran deal. Iran can•À_•À_t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF|
|trump|,|negative|,"|RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:•À_•À__|"
|trump|,|negative|,"|Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7|"
|trump|,|negative|,"|The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate|"
|trump|,|neutral|,|RT @Ronnie2K: trump during #GOPDebate be like... https://t.co/jCUirk1i1u|
|trump|,|negative|,|RT @TheBaxterBean: Watch trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t•À_•À__|
|No candidate mentioned|,|neutral|,|A few of my favorite #Twitter responses to the #GOPDebate last night: http://t.co/2IqcdrCdlm http://t.co/7TDMA3VLM8|
|No candidate mentioned|,|positive|,|RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i•À_•À__|
|No candidate mentioned|,|positive|,|Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP|
|trump|,|negative|,"|RT @JRehling: #GOPDebate trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him •À_•À__|"
|kasich|,|positive|,"|RT @JohnKasich: kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C|"
|trump|,|negative|,"|RT @SnarkyDemo: What did the #GOPDebate teach us about a future President Trump?  America probably won•À_•À_t be safe, except if we•À_•À_re attacked •À_•À__|"
|Scott Walker|,|negative|,|RT @MattyIceAZ: Scott Walker can't even carry his own state. #GOPDebate|
|Chris Christie|,|positive|,|RT @CharlotteLaws: Chris Christie is really standing out at the #GOPdebate|
|trump|,|negative|,"|RT @DanScavino: .@MegynKelly, You failed the American people tonight.  You tried to make history, by destroying @realDonaldTrump. #KellyFai•À_•À__|"
|trump|,|negative|,|@megynkelly @BretBaier @foxnews WTF was up with Chris Wallace attacking #Trump2016 on bankruptcy then giving Rubio a softball? #GOPDebate|
|Rand Paul|,|positive|,|RT @ScorpionsPriest: Best moment of the #GOPDebate last night: Rand telling Christie to go get another hug from Obama.|
|trump|,|neutral|,|#GOPDebate in one picture http://t.co/WMmucJUqJu|
|trump|,|negative|,"|RT @NancyLeeGrahn: The cheers from #GOPDebate  audience afterTrump defiantly named @Rosie as the woman he called ""Fat Pig"" were the voices •À_•À__|"
|Mike Huckabee|,|negative|,"|•À_•À_•À_@GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate rigged|"
|trump|,|negative|,|RT @oftenimprudent: I wish we could teach teenage girls to love themselves as much as trump loves himself. #GOPdebate|
|No candidate mentioned|,|neutral|,|RT @travisconsidine: .@GovernorPerry #GOPDebate Performance Review-Reel: https://t.co/o5QUROZbku #Perry2016|
|Ben Carson|,|positive|,"|#GOPDebate 2016 #teamdrbencarson @RealBenCarson  WOW! Brilliant, Cool, Calm &amp; Collected.#empowering|"
|No candidate mentioned|,|neutral|,"|RT @GovernorPerry: .@GovernorPerry's ""On Fire"" Debate Performance https://t.co/aRmJN6vwPG #GOPDebate #Perry2016 #tcot|"
|kasich|,|negative|,|@JohnKasich is from Ohio.  Ohio gave us Boehner.  NO THANKS. ANOTHER RHINO  #GOPDebate|
|No candidate mentioned|,|positive|,"|""Ultimately, liberals were unhappy, which means the GOP did something right"" #gopDebate http://t.co/08nrvGEsrA|"
|Scott Walker|,|negative|,|#GOPDebate Gov.Walker being pro-life means pro EVERY life! When you develop a uterus then you can have an opinion!|
|trump|,|negative|,|RT @ThatsJustBogus: The day after the #GOPDebate a man who is mean to everybody is complaining about everybody being mean to him. #TrumpThe•À_•À__|
|trump|,|negative|,"|RT @larryelder: trump said, ""Single-payer works in Canada."" No...it...does...not!!! 20 reasons why not: http://t.co/uR9oz95p9F #GOPD•À_•À__|"
|trump|,|negative|,|Trump = Obama = Paranoid egomaniacs always blaming others.   #DemocratsThinkAlike  #GOPDebate|
|Jeb Bush|,|negative|,|RT @ThatTexasBoy26: _•À_…Ü that's messed up. @JebBush getting no love on @Snapchat #GOPDebate http://t.co/0jX8Yeb00F|
|Mike Huckabee|,|negative|,|RT @RebeccazWriting: @megynkelly @FrankLuntz @GovMikeHuckabee Interesting -considering he doesn't have a snowball's chance in HELL of winni•À_•À__|
|Ben Carson|,|positive|,|After #GOPDebate He's on top!  Go @RealBenCarson Go!!  #FoxNews and  @megynkelly keep Ben on the air! http://t.co/DgGlgoNasd|
|Jeb Bush|,|negative|,|when Jeb Bush said all the Republican candidates were better than Hillary and Bernie #GOPDebate http://t.co/fWA5ir27bY|
|Jeb Bush|,|negative|,"|RT @RedStateJake: Sorry, but @JebBush was as inspiring as a manila envelope.   #GOPDebate #tcot #tlot #ccot #ycot #GOP http://t.co/5xeZ4vlJ•À_•À__|"
|trump|,|negative|,|RT @buckle2: The scary part about the #GOPDebate is that Trump won and is still leading the polls. Is America serious about making him Pres•À_•À__|
|cruz|,|negative|,|RT @pattonoswalt: Cruz wants us to forfeit citizenship if we go and join ISIS? That seriously fucks up the spring break comedy script I jus•À_•À__|
|Jeb Bush|,|negative|,|RT @br549q: #MegynKelly #KellyFile #GOPDebate  #foxnews demnstrtes its bias for Jeb by time allotment &amp; time spent attackng Trump http://t.•À_•À__|
|trump|,|negative|,"|#TheDonald says re: calling #women dogs, disgusting animals: ""We have a lot of fun, I say what I say."" #TrumpMisogynist #misogyny #GOPDebate|"
|rubio|,|negative|,"|RT @chrisgeidner: Rubio says all life should be protected. Rejects that he supports ""life of the mother"" exceptions. #GOPDebate|"
|Scott Walker|,|negative|,|RT @BecomingUsBrook: Watched a part of the #GOPDebate last night. Hilarious that @ScottWalker thinks he has any chance. Let alone any of th•À_•À__|
|Mike Huckabee|,|neutral|,"|""the military's favorite song is Break Stuff by Limp Bizkit""- @MikeHuckabeeGOP #GOPDebate|"
|trump|,|negative|,"|RT @senatorshoshana: If @realDonaldTrump is complaining about hard questions from a ""bimbo"" like @megynkelly, how is he to lead America? #G•À_•À__|"
|Mike Huckabee|,|negative|,"|my head still hurts from hearing mike huckabee imply trans ppl are a ""social experiment"" like eat my trans shit u moldy dishrag #GOPDebate|"
|kasich|,|positive|,|RT @Vara11: @JohnKasich really impressed in last night's #GOPDebate http://t.co/RbpOmS07gC #Kasich4Us|
|trump|,|negative|,"|A weave on your head should look like you own the hair. If I see anymore glue,  I will scream. Looking like Trump #weave #GOPDebate  #bad|"
|Scott Walker|,|negative|,"|RT @StevenSinger3: #BATSask if Scott Walker's ""Pro-life"" stance covers school kids, too? http://t.co/39ZRoENv9K #GOPDebate|"
|Jeb Bush|,|negative|,"|Sorry, Jeb but Compassionate Conservative message is so 2000 #GOPDebate RT https://t.co/8uAi8mR3di|"
|kasich|,|negative|,"|RT @summer4jul: @JohnKasich, What about all of the kids in poverty in OH? #BatsAsk #GOPDebate|"
|Mike Huckabee|,|negative|,|Disgrace @GovMikeHuckabee cites #science in anti-abortion rant but dismisses it on #globalwarming #GOPcircus #GOPDebate|
