tweet_id,candidate,name,tweet_created,tweet_location,user_timezone,retweet_count,sentiment,tone,text
ID708223533999063040,Trump,National Voting Day,3/10/12 4:30,null,null,0,negative,negative,.@RealDonaldTrump #Trump2016 The #KingofLosers: #GOPDebate: Another Loser: Trump Home Marks Member Corp
ID708338064494600193,Trump,National Voting Day,3/10/12 12:05,null,null,0,negative,negative,.@RealDonaldTrump #Trump2016 The #KingofLosers: #GOPDebate: Another Loser: Trump Marks Products LLC
ID708378322330394624,Trump,National Voting Day,3/10/12 14:45,null,null,0,negative,negative,.@RealDonaldTrump #Trump2016 The #KingofLosers: #GOPDebate: Another Loser: Trump Miami Resort Management LLC
ID708146658727501825,Cruz,AB Campbell,3/9/12 23:24,"Bison, Kansas",Central Time (US & Canada),0,negative,negative,@kborut123 @tkdmike And those are his GOOD points!!! #Cruz #TailgunnerTed #CalgaryTed #GOPDebate
ID708187677502218240,Trump,Patty Crouch,3/10/12 2:07,"Tucson, AZ",null,0,positive,positive,"@realDonaldTrump #gopdebate #MakeAmericaGreatAgain  Definitely won debate, Mr.Trump is rolling full steam ahead! #Trumptrain????"
ID708144910701096961,Cruz,DJ,3/9/12 23:17,null,Pacific Time (US & Canada),0,negative,negative,#Cruz is an Establishment Politician. #GOPDebate
ID708292404181278720,Trump,Ema Emerald,3/10/12 9:04,null,null,0,neutral,neutral,#GOPdebate Donald Trump #TrumpTrain 2016 Large Black Custom Decal IntlShip  #tpp #gop #nra #tlot https://t.co/QoLpDxIFx4
ID708518417280733184,Rubio,potus2016,3/11/12 0:02,null,Central America,0,neutral,neutral,"#gopdebate Ok @cnnbrk, Marco Rubio is #3 among GOP candidates past day hyped by Twitter https://t.co/sjDdWkkeKM"
ID708150277157875712,Trump,Youtube Partner ID,3/9/12 23:39,Indonesia,Jakarta,0,neutral,neutral,#GOPDebate watch Donald Trump say Putin a very strong leader for Russia #gopdebate live stream @CNNPolitics https://t.co/Urid5ROA3p
ID708508179437584384,Trump,PrettyGirlG?_(«_«_)_/?,3/10/12 23:21,Malibu??ATL ,Pacific Time (US & Canada),0,negative,negative,#nevertrump #trumprally #gopdebate #SuperTuesday Trump is a f*ckin joke!  https://t.co/FZ6u2bphSX
ID708295578665361409,Trump,Get Borked!,3/10/12 9:16,Oregon,Pacific Time (US & Canada),0,negative,negative,#Trump had no clothes. #gopdebate @nobamanoway
ID708142369003012097,Trump,shannonsistrunk,3/9/12 23:07,Mississippi,Central Time (US & Canada),1,negative,positive,#trump I'm the best and bring in a million billion ratings. I'm awesome! #GOPDebate
ID708220006161453056,Trump,Jackoff Josh,3/10/12 4:16,"Washington, USA",null,0,positive,neutral,#Trump showed great restraint during #GOPDebate & Did Better Job Stopping #Media & #Politicians Twisting His Words Into #Lies #Corruption
ID708141039953969156,Cruz,MaryAnn Hemmingson,3/9/12 23:02,null,Arizona,0,negative,negative,"Cruz final words: ""Son of a bartender. Son of a dishwasher. Son of a mailman. Son of a gun (grrrr...)"" #GOPDebate"
ID708141268174577669,Trump,@Jmoon,3/9/12 23:03,null,Central Time (US & Canada),0,neutral,neutral,Disney workers respond to Trump's policy claims at #GOPDebate (Vine by @INJO) https://t.co/AEzfNsHZ3Y
ID708142581046124544,Trump,mikeclark2,3/9/12 23:08,"memphis, tn",Central Time (US & Canada),0,neutral,neutral,Donald trump's son looks like Odo from Star Trek: Deep Space Nine. #ds9 #GOPDebate
ID708343461586583552,Trump,Horus_300,3/10/12 12:26,Palm beach Florida,Pacific Time (US & Canada),1,negative,negative,"Fuck Trump
Fuck Hillary
#blackpowermovement
#BlackLivesMatter
#barsoverbullshit
#GOPDebate
Ig:Holyhorus https://t.co/Fy7PtaeK1p"
ID708152231472795648,Trump,Leigh Bursey,3/9/12 23:47,"Brockville, Ontario",null,0,negative,neutral,I am sure #Trump believes he trunk is an adequate length. #GOPDebate #TrumpSteaks  https://t.co/ba4Tg8c5DY
ID708506705529692160,Kasich,Marty Weber,3/10/12 23:15,null,null,0,negative,negative,Kasich created 400 jobs during his time as governor Lol #boss #gopdebate #weakassapllause
ID708449344375095296,Cruz,#Bellona,3/10/12 19:27,NYC  London  Beirut ,null,110,negative,negative,RT @_HankRearden: Cruz says 'it's easy to talk about taking on Washington.' No shit dude we've watched you do it 4 yrs with absolutely no r«_«_
ID708148901665185792,Trump,SLS-GROUP CORP.,3/9/12 23:33,null,Central Time (US & Canada),38,negative,negative,RT @ABC: ANALYSIS: Donald Trump tames his ultimate enemy at #GOPDebate«_«_himself https://t.co/doC2hpCws4 https://t.co/DxpYAixPUP
ID708142679897608192,Trump,Elisa Pettit,3/9/12 23:09,Chattanooga,null,66,positive,positive,"RT @AC360: Donald Trump: ""We needed this kind of debate. We needed this kind of a tone."" #GOPDebate https://t.co/YZ32bCBsdM https://t.co/aA«_«_"
ID708141598283063296,Trump,numba one love stan,3/9/12 23:04,null,null,131,negative,negative,"RT @ajplus: ""There's tremendous hatred.""
-Trump on ""the threat"" of Muslims in America #GOPDebate https://t.co/g62iFl1DiF"
ID708377368755212289,Trump,Michael ShepardMoore,3/10/12 14:41,null,null,1446,neutral,negative,"RT @ajplus: ""We have protesters who are bad dudes."" «_CTrump on why his rallies turn violent #GOPDebate
Exhibit A: https://t.co/RnoHRardS0"
ID708190002304327681,Trump,andrea,3/10/12 2:17,null,Alaska,442,negative,negative,"RT @ajplus: ""We're all in this together."" -Donald Trump #GOPDebate
Muslims, Mexicans, refugees, pretty much all minorities rn: https://t.«_«_"
ID708140827990728705,Cruz,Florence Otaigbe,3/9/12 23:01,Da 'Sip,Central Time (US & Canada),518,negative,negative,"RT @ajplus: Cruz says Barack Obama's presidency has been the laughing stock of the world.
Let's think about that. #GOPDebate https://t.co/«_«_"
ID708488196477222912,Rubio,Bern Seattle | 3.26,3/10/12 22:02,Seattle,Pacific Time (US & Canada),91,negative,negative,RT @AnaKasparian: How does Marco Rubio feel that his Cuban brothers and sisters won't have a home in Miami in the next century? #GOPDebate «_«_
ID708228116318019584,Trump,GB Davies,3/10/12 4:48,"Southampton, UK.",Pacific Time (US & Canada),36,positive,neutral,"RT @AP: Analysis: Rivals still searching for formula to stop Trump during #GOPDebate, @jpaceDC reports: https://t.co/2lUqrmuSi5"
ID708297160224169984,Trump,Melissa Wade,3/10/12 9:22,"Texas, USA",Pacific Time (US & Canada),144,negative,negative,"RT @AP: At #GOPDebate, Trump faces allegations that he's inciting violence at his campaign rallies: https://t.co/jhyXEnGavn"
ID708301374539354112,Trump,Scott West,3/10/12 9:39,null,null,109,positive,positive,RT @asamjulian: I respect Donald Trump so much for telling the truth about Islam. We do NOT want to be like Germany and Sweden. #GOPDebate
ID708438887325159424,Cruz,Jojo,3/10/12 18:46,here,null,231,negative,negative,"RT @BettyBowers: Ted Cruz hates Iran but loves Ronald Reagan. Reagan sold arms to Iran; Obama didn't. Logic & facts are super pesky, aren't«_«_"
ID708141467080896513,Trump,Daniel Kurtz,3/9/12 23:04,null,Central Time (US & Canada),143,negative,negative,"RT @BettyBowers: Trump says: ""No one's complaining about the deals Ronald Reagan made."" Hmmmm, guess he never heard about Iran-Contra.  #GO«_«_"
ID708171192402718722,Trump,?????????,3/10/12 1:02,null,New Delhi,143,negative,negative,"RT @BettyBowers: Trump says: ""No one's complaining about the deals Ronald Reagan made."" Hmmmm, guess he never heard about Iran-Contra.  #GO«_«_"
ID708161269321244672,Trump,samanthaa hamilton «_«_,3/10/12 0:22,ohio,null,33,negative,negative,RT @BigHeadSports: This is an epic fail of a debate for Trump. His responses are almost comical. Unintentionally. #GOPDebate
ID708480949609111554,Rubio,Kylo Ren/Adam Driver,3/10/12 21:33,"Burbank, CA",null,1,negative,negative,RT @BrianWFoster: Marco Rubio's speechwriter is a 22 year old who just tried opiates for the first time. #GOPDEBATE
ID708256403820044288,Trump,THE ROCK,3/10/12 6:41,World,null,24,negative,negative,RT @business: Donald Trump stands by controversial comments about Islam https://t.co/W43jlHzKNm #GOPDebate https://t.co/MT6TRQN6tp
ID708154142259171328,Trump,Chad,3/9/12 23:54,"Fort Lauderdale, FL",Eastern Time (US & Canada),35,neutral,neutral,RT @business: Here's how Trump sneaks in extra airtime after the debates https://t.co/YkGbCoOM7S #GOPDebate https://t.co/xMRtM4ubIU
ID708160217054248965,Trump,ANNA-LENA SCHULDT,3/10/12 0:18,Osterburg (Altmark),null,112,negative,negative,RT @cenkuygur: Trump is low energy tonight. He is clearly playing prevent defense. His polling must show that the penis talk didn't help hi«_«_
ID708225957350379520,Trump,"10,000 KEKS",3/10/12 4:40,Cactuar Island,null,23,positive,positive,"RT @Cernovich: ""Now is the time for unity."" - Trump has charmed CNN. Told you he would. He has many talents! #GOPDebate"
ID708179958732959746,Trump,dennis_peter,3/10/12 1:37,null,Pacific Time (US & Canada),2,negative,negative,"RT @chenx064: Shorter version of the entire campaign: ""The guy defending Trump «_«_ is cretinous."" #NeverTrump #GOPDebate https://t.co/ABdyZAi«_«_"
ID708154670905225216,Trump,Shaun King,3/9/12 23:56,"Atlanta, GA",Eastern Time (US & Canada),157,negative,negative,RT @christinawilkie: Young black college student who was curious about Trump got thrown out and then attacked. Dude. America. #GOPDebate  h«_«_
