id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
4,No candidate mentioned,1,yes,1,Positive,1,None of the above,0.7039,,MattFromTexas31,,138,,,RT @RobGeorge: That Carly Fiorina is trending -- hours after HER debate -- above any of the men in just-completed #GOPdebate says she's on ï¿_ï¿__,,8/7/15 9:54,6.30E+17,Texas,Central Time (US & Canada)
8,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,RaulAReyes,,0,,,Going on #MSNBC Live with @ThomasARoberts around 2 PM ET.  #GOPDebate,,8/7/15 9:54,6.30E+17,New York NY,Eastern Time (US & Canada)
11,trump,1,yes,1,Negative,1,None of the above,1,,jnjsmom,,0,,,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,,8/7/15 9:54,6.30E+17,"Peoria, IL",Central Time (US & Canada)
12,Mike Huckabee,1,yes,1,Positive,1,Foreign Policy,0.652,,KLWorster,,188,,,"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 
Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV",,8/7/15 9:54,6.30E+17,"Fargo, ND",Central Time (US & Canada)
15,Scott Walker,1,yes,1,Positive,1,None of the above,1,,In_Related_News,,215,,,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,,8/7/15 9:54,6.30E+17,"San Diego, California",Pacific Time (US & Canada)
16,Chris Christie,1,yes,1,Negative,1,None of the above,0.6778,,MDiner92,,0,,,Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate,,8/7/15 9:54,6.30E+17,,Central Time (US & Canada)
19,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.686,,LordWhatAMess,,0,,,reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,,8/7/15 9:54,6.30E+17,,Eastern Time (US & Canada)
21,cruz,1,yes,1,Positive,1,None of the above,1,,rickymcghee,,6,,,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate",,8/7/15 9:54,6.30E+17,"fripp island,sc/ southeast ga",
23,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.3484,,hoopsfanatic28f,,404,,,RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,,8/7/15 9:54,6.30E+17,"Lynnwood, WA",Pacific Time (US & Canada)
26,rubio,0.6889,yes,1,Negative,1,None of the above,1,,America4Aliens,,0,,,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",,8/7/15 9:54,6.30E+17,"Sydney, New South Wales",
27,Scott Walker,1,yes,1,Negative,1,Abortion,1,,mch7576,,19,,,RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badgerï¿_ï¿__,,8/7/15 9:54,6.30E+17,USA ,
29,trump,1,yes,1,Negative,1,None of the above,1,,OldOne4Sure,,2,,,RT @mch7576: RT ï¿_ï¿_ï¿_@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfuï¿_ï¿_ï¿_ï¿_,,8/7/15 9:54,6.30E+17,Cleveland Texas,Central Time (US & Canada)
31,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.6702,,BMcCluregolf,,0,,,@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone,,8/7/15 9:54,6.30E+17,"Green Bay, WI",
34,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,audreyspizza,,0,,,#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj,,8/7/15 9:54,6.30E+17,Canada,Eastern Time (US & Canada)
38,Jeb Bush,1,yes,1,Negative,1,None of the above,1,,shirley_3008,,3427,,,"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://tï¿_ï¿__",,8/7/15 9:54,6.30E+17,,
39,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.6705,,jasonrlee,,3,,,"RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism ï¿_ï¿__",,8/7/15 9:54,6.30E+17,Arizona,Arizona
45,trump,1,yes,1,Negative,1,Women's Issues (not abortion though),0.6713,,SarahMLevin,,0,,,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate",,8/7/15 9:54,6.30E+17,"Washington, DC",Atlantic Time (Canada)
53,No candidate mentioned,1,yes,1,Negative,1,Women's Issues (not abortion though),1,,Radiant_Body,,4,,,"RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebateï¿_ï¿__",,8/7/15 9:54,6.30E+17,"Denver, CO",Central Time (US & Canada)
56,No candidate mentioned,1,yes,1,Negative,1,Religion,1,,HeathenTech,,5,,,"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chriï¿_ï¿__",,8/7/15 9:54,6.30E+17,Midgard,Mountain Time (US & Canada)
57,No candidate mentioned,1,yes,1,Negative,1,Racial issues,1,,mombizzz,,105,,,RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h,,8/7/15 9:54,6.30E+17,U.S.A,Central Time (US & Canada)
62,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,search4rr,,154,,,"RT @AmyMek: Status _ï¿_ï¿_ Single 
I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.
#GOPDebate http://t.ï¿_ï¿__",,8/7/15 9:54,6.30E+17,"Florida,, usually",Eastern Time (US & Canada)
65,No candidate mentioned,1,yes,1,Negative,1,Foreign Policy,1,,TracyCarrillo15,,135,,,RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate,,8/7/15 9:54,6.30E+17,,
67,kasich,1,yes,1,Neutral,1,Foreign Policy,1,,kevinburger72,,45,,,RT @JohnKasich: Scrap the President's Iran deal. Iran canï¿_ï¿_t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF,,8/7/15 9:54,6.30E+17,,Central Time (US & Canada)
70,trump,1,yes,1,Negative,1,None of the above,1,,papalputz,,54,,,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:ï¿_ï¿__",,8/7/15 9:54,6.30E+17,Vatican City,
71,trump,1,yes,1,Negative,1,FOX News or Moderators,1,,randomsubu,,0,,,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7",,8/7/15 9:54,6.30E+17,"Pittsburgh, PA",Eastern Time (US & Canada)
75,trump,1,yes,1,Negative,1,FOX News or Moderators,0.6768,,palmaceiahome1,,0,,,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",,8/7/15 9:54,6.30E+17,,Quito
79,No candidate mentioned,0.6591,yes,1,Negative,1,None of the above,1,,agreenwood0216,,224,,,RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate,,8/7/15 9:54,6.30E+17,,
85,trump,1,yes,1,Neutral,1,None of the above,1,,ou2va2le2monde2,,532,,,RT @Ronnie2K: trump during #GOPDebate be like... https://t.co/jCUirk1i1u,,8/7/15 9:54,6.30E+17,,Pacific Time (US & Canada)
89,trump,1,yes,1,Negative,1,None of the above,0.3483,,DoremusJ,,13,,,RT @TheBaxterBean: Watch trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://tï¿_ï¿__,,8/7/15 9:54,6.30E+17,9/10th mile north Nowhere OK,
90,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,Daniel_DeMay,,0,,,A few of my favorite #Twitter responses to the #GOPDebate last night: http://t.co/2IqcdrCdlm http://t.co/7TDMA3VLM8,,8/7/15 9:54,6.30E+17,"Seattle, WA",Alaska
94,No candidate mentioned,1,yes,1,Positive,1,None of the above,0.6667,,IdahoGOP,,44,,,RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate iï¿_ï¿__,,8/7/15 9:54,6.30E+17,"Boise, Idaho",Mountain Time (US & Canada)
95,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,kweidleman,,1,,,"RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7Xï¿_ï¿__",,8/7/15 9:54,6.30E+17,"Washington, DC",Eastern Time (US & Canada)
98,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,gleason_danny,,347,,,RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw,,8/7/15 9:54,6.30E+17,"Austin, Texas",
102,No candidate mentioned,1,yes,1,Positive,1,None of the above,1,,MikeT1647,,0,,,Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP,,8/7/15 9:54,6.30E+17,,Mountain Time (US & Canada)
103,trump,1,yes,1,Negative,1,Women's Issues (not abortion though),0.6634,,danijeantheq,,149,,,"RT @JRehling: #GOPDebate trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him ï¿_ï¿__",,8/7/15 9:54,6.30E+17,,
104,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,DouglasRobert70,,18,,,RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.coï¿_ï¿__,,8/7/15 9:54,6.30E+17,,Mountain Time (US & Canada)
106,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,0.6437,,Osunga,,2,,,"RT @kirahoffy: ""@FoxNews web stream and mobile app fail during #GOPDebateï¿_ï¿_ ï¿_ï¿__ Why am I not surprised? http://t.co/tkpEsoOEZT",,8/7/15 9:54,6.30E+17,Los Angeles,Pacific Time (US & Canada)
107,kasich,1,yes,1,Positive,1,Jobs and Economy,1,,kevinburger72,,90,,,"RT @JohnKasich: kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C",,8/7/15 9:54,6.30E+17,,Central Time (US & Canada)
111,No candidate mentioned,1,yes,1,Negative,1,Women's Issues (not abortion though),1,,grady77,,95,,,RT @cameronesposito: Ugh will these guys ever shut up about how much they respect women? #GOPDebate,,8/7/15 9:53,6.30E+17,PDX,Eastern Time (US & Canada)
112,trump,1,yes,1,Negative,1,None of the above,0.6322,,lindamama02,,5,,,"RT @SnarkyDemo: What did the #GOPDebate teach us about a future President Trump?  America probably wonï¿_ï¿_t be safe, except if weï¿_ï¿_re attacked ï¿_ï¿__",,8/7/15 9:53,6.30E+17,,
113,No candidate mentioned,1,yes,1,Negative,1,Foreign Policy,0.6765,,DEveLRatCity,,18,,,"RT @congoboy: This is going to be a long, tiring election season. 
""shockingly ill-informed"" candidates at #GOPDebate
http://t.co/vTK1k0tXiï¿_ï¿__",,8/7/15 9:53,6.30E+17,Seattle ,
116,Scott Walker,1,yes,1,Negative,1,None of the above,1,,marcylauren,,51,,,RT @MattyIceAZ: Scott Walker can't even carry his own state. #GOPDebate,,8/7/15 9:53,6.30E+17,Delaware,Eastern Time (US & Canada)
117,No candidate mentioned,1,yes,1,Negative,1,Racial issues,1,,kaewizzzle,,409,,,"RT @XLNB: Black people, if you need anymore indication why Republicans hate us. Peep this. #GOPDebate http://t.co/Bh0ChsY5Eh",,8/7/15 9:53,6.30E+17,,Mountain Time (US & Canada)
118,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.6966,,DavidBloomberg,,94,,,"RT @Smethanie: Sure, God told me I should run, and the Tooth Fairy agreed and all the Teletubbies voted yes, so here I am. #GOPDebate",,8/7/15 9:53,6.30E+17,"Springfield, IL",Central Time (US & Canada)
120,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,annykatzy,,2,,,"RT @palmaceiahome1: Caller on the Rush Limbaugh show:""I have lost all respect for Fox News."" #FoxNews #GOPDebate",,8/7/15 9:53,6.30E+17,Fla/Mich,Central Time (US & Canada)
130,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,ProtectIllusion,,52,,,"RT @FrankConniff: Fox News #GOPDebate interviewer to candidates: ""What's your take on these GOP talking points I'm feeding you?""",,8/7/15 9:53,6.30E+17,,Mountain Time (US & Canada)
133,Chris Christie,1,yes,1,Positive,1,None of the above,1,,FasterTrader,,1,,,RT @CharlotteLaws: Chris Christie is really standing out at the #GOPdebate,,8/7/15 9:53,6.30E+17,"Los Angeles, CA",
135,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,jcmarder,,0,,,"You can't be pro-life AND have watched that 2 hour abortion last night.
#GOPDebate #forkedtongue #IseeOrangePeople",,8/7/15 9:53,6.30E+17,"San Marino, California",Pacific Time (US & Canada)
136,trump,0.6921,yes,1,Negative,1,FOX News or Moderators,1,,JCArgentum,,310,,,"RT @DanScavino: .@MegynKelly,
You failed the American people tonight. 
You tried to make history, by destroying @realDonaldTrump. #KellyFaiï¿_ï¿__",,8/7/15 9:53,6.30E+17,,
137,No candidate mentioned,1,yes,1,Negative,1,Religion,1,,markmcandrew,,334,,,"RT @edstetzer: Btw... when you mix politics and religion, you get politics. #GOPDebate",,8/7/15 9:53,6.30E+17,"Athens, Ga",
139,trump,0.7063,yes,1,Negative,1,FOX News or Moderators,1,,Transcend_Rsrch,,0,,,@megynkelly @BretBaier @foxnews WTF was up with Chris Wallace attacking #Trump2016 on bankruptcy then giving Rubio a softball? #GOPDebate,,8/7/15 9:53,6.30E+17,,
146,Rand Paul,0.6591,yes,1,Positive,1,None of the above,1,,georgecorey4,,5,,,RT @ScorpionsPriest: Best moment of the #GOPDebate last night: Rand telling Christie to go get another hug from Obama.,,8/7/15 9:53,6.30E+17,"portsmouth ,Rhode Island",
147,No candidate mentioned,1,yes,1,Negative,1,Foreign Policy,0.3508,,JJBills14,,350,,,RT @JohnFugelsang: If you missed either #GOPDebate all you need to know is there's no $ for struggling Americans and unlimited $ for war.,,8/7/15 9:53,6.30E+17,,
151,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.6364,,magicfreak81,,0,,,Summary is the #GOPDebate: Status quo shit show,,8/7/15 9:53,6.30E+17,"New York, NY",Eastern Time (US & Canada)
155,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,realJohnJericho,,33,,,RT @ChrisJZullo: Last night at the #GOPdebate all I saw was a bunch of Rich and Old despots with ZERO solutions to our nations problems #unï¿_ï¿__,,8/7/15 9:53,6.30E+17,,Central Time (US & Canada)
157,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,cornopaez,,7,,,RT @RFHKerry: If you think ANY of these people are qualified...unfollow me.  #GOPDebate,,8/7/15 9:53,6.30E+17,"Pittsburgh, PA",Eastern Time (US & Canada)
164,trump,1,yes,1,Neutral,1,None of the above,1,,owlzly,,0,,,#GOPDebate in one picture http://t.co/WMmucJUqJu,,8/7/15 9:53,6.30E+17,Up North,Pacific Time (US & Canada)
167,trump,1,yes,1,Negative,1,Women's Issues (not abortion though),0.6598,,shyone269,,10,,,"RT @NancyLeeGrahn: The cheers from #GOPDebate  audience afterTrump defiantly named @Rosie as the woman he called ""Fat Pig"" were the voices ï¿_ï¿__",,8/7/15 9:53,6.30E+17,Not where I want to be U.S.A.,America/New_York
168,No candidate mentioned,1,yes,1,Negative,1,Racial issues,1,,Truthbuster,,0,,,"#BlackLives don't matter, apparently, to Republican candidates for president  http://t.co/8rfevFWSXx / or to @FoxNews #uniteblue #GOPDebate",,8/7/15 9:53,6.30E+17,"New York, NY",Eastern Time (US & Canada)
169,No candidate mentioned,1,yes,1,Negative,1,Racial issues,1,,Alee_Bono,,0,,,"Overall the main thing we learned from the #GOPDebate is that only straight, white, men matter.",,8/7/15 9:53,6.30E+17,The Moon,Mountain Time (US & Canada)
172,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,fc7822,,0,,,"@megynkelly @BretBaier #ChrisWallace, #America is criticizing UR PERFORMANCES during #GOPDebate b/c U did a REALLY bad job as ""moderators.""",,8/7/15 9:53,6.30E+17,"Riverside, CA - USA",Pacific Time (US & Canada)
173,Mike Huckabee,1,yes,1,Negative,1,None of the above,0.6729,,held_jana,,0,,,"ï¿_ï¿_ï¿_@GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate rigged",,8/7/15 9:53,6.30E+17,,
174,trump,1,yes,1,Negative,1,None of the above,0.6211,,justanothersnl,,11,,,RT @oftenimprudent: I wish we could teach teenage girls to love themselves as much as trump loves himself. #GOPdebate,,8/7/15 9:53,6.30E+17,with Carmen Sandiego,Eastern Time (US & Canada)
175,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.6421,,unicornmajik,,163,,,"RT @AmyMek: Conservatives are a people without a Network! 
#GOPDebate @FoxNews",,8/7/15 9:53,6.30E+17,Arizona,Arizona
176,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,rwyckoff46,,1447,,,RT @BHowl_: How come there's no talk about climate change? Has anyone here even seen California right now? #GOPDebate #DebateWithBernie,,8/7/15 9:53,6.30E+17,"Brattleboro, VT",Eastern Time (US & Canada)
177,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,jojo21,,4,,,RT @travisconsidine: .@GovernorPerry #GOPDebate Performance Review-Reel: https://t.co/o5QUROZbku #Perry2016,,8/7/15 9:53,6.30E+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
