id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
5,Donald Trump,1,yes,1,Positive,0.7045,None of the above,1,,sharonDay5,,156,,,RT @DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 http://t.co_Ñ_,,8/7/15 9:54,6.30E+17,,Arizona
11,Donald Trump,1,yes,1,Negative,1,None of the above,1,,jnjsmom,,0,,,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,,8/7/15 9:54,6.30E+17,"Peoria, IL",Central Time (US & Canada)
17,Donald Trump,0.3923,yes,0.6264,Negative,0.6264,Women's Issues (not abortion though),0.3923,,gina_catch22gg,,45,,,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t._Ñ_,,8/7/15 9:54,6.30E+17,,
8972,Donald Trump,1,yes,1,Negative,1,Women's Issues (not abortion though),1,,voodoodreams,,3,,,RT @Chic4USA: Aaaand #megynfail brings in DNC chair to take down Trump thru women's rights. My gender once again used as fear tool. Ugh #GO_Ñ_,,8/6/15 21:18,6.30E+17,on earth *LOL*,America/Chicago
8974,Donald Trump,1,yes,1,Negative,0.6667,None of the above,1,,tammy_leonhardt,,94,,,RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? #GOPDebate  #GOPDebates _ª___ª_ô,,8/6/15 21:18,6.30E+17,,
8977,Donald Trump,0.4402,yes,0.6635,Negative,0.6635,FOX News or Moderators,0.4402,,MrNiceRing,,134,,,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. _ª___ª_ô #GOPDebate_Ñ_,,8/6/15 21:18,6.30E+17,"Shawnee, Oklahoma USA",Central Time (US & Canada)
8982,John Kasich,1,yes,1,Negative,0.6966,None of the above,1,,bubblegenius,,4,,,"RT @Will_Bunch: So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates",,8/6/15 21:17,6.30E+17,Beautiful downtown Burbank!,Pacific Time (US & Canada)
8985,Donald Trump,1,yes,1,Negative,0.6922,None of the above,0.6922,,KarenMonsour12,,2,,,"RT @ProfessorRobo: To start th evening, RNC moderators dropped Atom Bomb on #Trump 
...Trump kicked it thru th uprights #GOPDebate #GOPDeba_Ñ_",,8/6/15 21:17,6.30E+17,"Southeast, FL (Real Estate)",Eastern Time (US & Canada)
8990,John Kasich,1,yes,1,Negative,0.7093,None of the above,1,,KatySkyGroup,,4,,,"RT @Will_Bunch: So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates",,8/6/15 21:16,6.30E+17,"Dallas, Texas",Eastern Time (US & Canada)
8994,Donald Trump,1,yes,1,Negative,0.6552,FOX News or Moderators,1,,MSMisPropaganda,,71,,,RT @RWSurferGirl: These debates will raise @realDonaldTrump 's ratings because Fox News is afraid of Trump and it shows. #GOPDebate #GOPDeb_Ñ_,,8/6/15 21:16,6.30E+17,America,Alaska
8996,John Kasich,0.6889,yes,1,Negative,0.6333,None of the above,0.6889,,LoriLib,,4,,,"RT @Will_Bunch: So smart of Kasich to say, essentially, ""I hear the concerns of Trump voters except that I'm sane"" #GOPDebates",,8/6/15 21:15,6.30E+17,FL,
