id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
11,trump,1,yes,1,Negative,1,None of the above,1,,jnjsmom,,0,,,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,,8/7/15 9:54,6.30E+17,"Peoria, IL",Central Time (US & Canada)
21,cruz,1,yes,1,Positive,1,None of the above,1,,rickymcghee,,6,,,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate",,8/7/15 9:54,6.30E+17,"fripp island,sc/ southeast ga",
26,rubio,0.6889,yes,1,Negative,1,None of the above,1,,America4Aliens,,0,,,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.",,8/7/15 9:54,6.30E+17,"Sydney, New South Wales",
29,trump,1,yes,1,Negative,1,None of the above,1,,OldOne4Sure,,2,,,RT @mch7576: RT •À_•À_•À_@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu•À_•À_•À_•À_,,8/7/15 9:54,6.30E+17,Cleveland Texas,Central Time (US & Canada)
45,trump,1,yes,1,Negative,1,Women's Issues (not abortion though),0.6713,,SarahMLevin,,0,,,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate",,8/7/15 9:54,6.30E+17,"Washington, DC",Atlantic Time (Canada)
67,kasich,1,yes,1,Neutral,1,Foreign Policy,1,,kevinburger72,,45,,,RT @JohnKasich: Scrap the President's Iran deal. Iran can•À_•À_t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF,,8/7/15 9:54,6.30E+17,,Central Time (US & Canada)
70,trump,1,yes,1,Negative,1,None of the above,1,,papalputz,,54,,,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:•À_•À__",,8/7/15 9:54,6.30E+17,Vatican City,
71,trump,1,yes,1,Negative,1,FOX News or Moderators,1,,randomsubu,,0,,,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7",,8/7/15 9:54,6.30E+17,"Pittsburgh, PA",Eastern Time (US & Canada)
75,trump,1,yes,1,Negative,1,FOX News or Moderators,0.6768,,palmaceiahome1,,0,,,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate",,8/7/15 9:54,6.30E+17,,Quito
85,trump,1,yes,1,Neutral,1,None of the above,1,,ou2va2le2monde2,,532,,,RT @Ronnie2K: trump during #GOPDebate be like... https://t.co/jCUirk1i1u,,8/7/15 9:54,6.30E+17,,Pacific Time (US & Canada)
89,trump,1,yes,1,Negative,1,None of the above,0.3483,,DoremusJ,,13,,,RT @TheBaxterBean: Watch trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t•À_•À__,,8/7/15 9:54,6.30E+17,9/10th mile north Nowhere OK,
103,trump,1,yes,1,Negative,1,Women's Issues (not abortion though),0.6634,,danijeantheq,,149,,,"RT @JRehling: #GOPDebate trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him •À_•À__",,8/7/15 9:54,6.30E+17,,
107,kasich,1,yes,1,Positive,1,Jobs and Economy,1,,kevinburger72,,90,,,"RT @JohnKasich: kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C",,8/7/15 9:54,6.30E+17,,Central Time (US & Canada)
